Product,Age,Gender,MaritalStatus,Income,Usage,Fitness,Education,Usage,Miles,TM195,TM498,TM798,,Female,Male,,Partnered,Single,,Income,Miles,,Fitness1,Fitness2,Fitness3,Fitness4,Fitness5
TM195,23,Male,Partnered,38658,3,1,16,3,47,94,85,,,85,127,,47,94,,38658,47,,47,66,66,113,188
TM195,22,Female,Partnered,35247,3,2,14,3,66,47,212,100,,66,85,,66,94,,35247,66,,,47,75,132,180
TM195,23,Female,Partnered,34110,2,2,15,2,38,66,42,100,,75,141,,38,75,,34110,38,,,47,85,141,280
TM195,25,Female,Partnered,53439,2,2,14,2,47,141,85,200,,113,75,,47,113,,53439,47,,,66,75,132,200
TM195,25,Female,Partnered,40932,2,2,16,2,47,85,127,120,,94,113,,47,66,,40932,47,,,38,85,106,80
TM195,27,Female,Partnered,45480,3,2,14,3,66,75,64,100,,75,47,,66,95,,45480,66,,,47,113,170,120
TM195,29,Female,Partnered,46617,2,2,14,2,38,38,42,160,,66,132,,38,42,,46617,38,,,74,56,85,240
TM195,46,Female,Partnered,60261,3,2,16,3,47,47,53,180,,56,141,,47,64,,60261,47,,,53,56,160,170
TM195,20,Male,Partnered,35247,4,2,13,4,47,103,85,,,106,85,,47,169,,35247,47,,,47,56,100,300
TM195,24,Male,Partnered,42069,3,2,13,3,47,85,64,,,64,42,,47,53,,42069,47,,,47,94,160,150
TM195,26,Male,Partnered,53439,2,2,16,2,47,94,85,,,85,170,,47,106,,53439,47,,,42,85,113,260
TM195,31,Male,Partnered,54576,2,2,14,2,47,113,95,,,64,53,,47,127,,54576,47,,,53,94,75,360
TM195,31,Female,Single,45480,2,2,14,2,47,,,,,,,,,,,45480,47,,,66,106,141,120
TM195,33,Female,Single,55713,2,2,16,2,38,,,,,,,,,,,55713,38,,,53,85,113,200
TM195,34,Female,Single,52302,2,2,16,2,66,,,,,,,,,,,52302,66,,,85,95,106,140
TM195,19,Female,Partnered,30699,4,3,14,4,66,112,64,106,,66,112,,66,75,,30699,66,,,,85,,150
TM195,20,Female,Partnered,32973,3,3,14,3,66,75,53,120,,66,75,,66,75,,32973,66,,,,85,,200
TM195,21,Female,Partnered,35247,3,3,14,3,75,66,106,200,,75,85,,75,103,,35247,75,,,,75,,160
TM195,21,Female,Partnered,37521,2,3,15,2,85,85,95,140,,85,47,,85,113,,37521,85,,,,94,,
TM195,25,Female,Partnered,48891,3,3,14,3,75,85,95,80,,103,47,,75,47,,48891,75,,,,56,,
TM195,25,Female,Partnered,39795,3,3,14,3,85,85,95,160,,38,94,,85,38,,39795,85,,,,85,,
